gene_id	f2	f3	f6	f8	f10	f11
WBGene00000001	1287.05	695.16	472.21	1230.24	1013.15	816.70
WBGene00000002	754.00	326.00	255.00	522.00	542.00	463.00
WBGene00000003	607.00	199.00	334.00	479.00	231.00	239.00
WBGene00000004	821.00	427.00	251.00	815.00	392.00	401.00
WBGene00000005	251.00	107.00	68.00	178.00	223.00	235.00
WBGene00000006	1348.00	689.00	1052.00	1136.00	440.00	655.00
WBGene00000007	871.00	404.00	448.00	774.00	505.00	344.00
WBGene00000008	37.00	12.00	9.00	27.00	15.00	17.00
WBGene00000009	351.00	173.34	206.00	457.00	88.00	112.00
WBGene00000010	1782.00	843.00	192.00	1651.00	1087.00	963.00
WBGene00000012	11.00	6.00	20.00	23.00	6.00	5.00
WBGene00000013	1215.00	683.00	1896.00	912.00	436.00	330.00
WBGene00000014	0.00	0.00	0.00	0.00	1.00	2.00
WBGene00000015	0.00	2.00	1.00	1.00	2.00	1.00
WBGene00000016	2201.00	1116.00	1610.00	2211.00	972.00	1127.00
WBGene00000017	2929.00	1540.00	797.00	2653.00	1549.00	1154.00
WBGene00000018	366.00	202.00	148.00	460.00	276.00	226.00
WBGene00000019	58.00	36.00	29.00	128.00	37.00	46.00
WBGene00000020	1371.00	984.00	565.00	1299.00	704.00	597.00
WBGene00000021	0.00	0.00	0.00	2.00	0.00	0.00
WBGene00000022	1604.00	1028.00	1078.00	1355.00	1324.00	1253.00
WBGene00000023	56.00	37.00	19.00	117.00	84.00	77.00
WBGene00000024	90.75	77.02	29.23	50.98	137.87	176.07
WBGene00000025	0.00	0.00	0.00	0.00	0.00	1.00
WBGene00000026	0.00	0.00	0.00	1.00	0.00	2.00
WBGene00000027	4.06	4.00	4.06	4.45	9.33	5.59
WBGene00000028	0.00	0.00	0.00	0.00	0.00	0.00
WBGene00000029	27.61	18.71	10.84	12.06	92.16	105.43
WBGene00000030	60.94	46.53	22.85	11.47	73.56	117.24
WBGene00000031	605.12	372.06	446.84	452.32	396.62	374.01
WBGene00000032	4.38	2.19	6.58	0.00	17.54	19.00
WBGene00000033	309.00	146.00	184.00	161.00	237.00	205.00
WBGene00000034	345.00	247.00	201.00	231.00	304.00	221.00
WBGene00000035	310.00	184.00	28.00	312.00	130.00	60.00
WBGene00000036	1577.00	828.00	243.00	1531.00	692.00	820.00
WBGene00000037	517.00	317.00	123.00	521.00	196.00	179.00
WBGene00000038	106.00	44.00	47.00	76.00	28.00	35.00
WBGene00000039	622.48	409.00	363.00	730.00	608.00	462.00
WBGene00000040	16920.00	8546.00	9252.00	13915.00	8376.00	9620.00
WBGene00000041	64566.10	27203.89	14147.92	62537.11	29375.08	30807.05
WBGene00000042	54.00	44.32	14.00	67.00	23.00	34.00
WBGene00000043	14.00	12.00	3.00	14.00	9.00	10.00
WBGene00000044	38.00	17.00	7.00	54.00	24.00	31.00
WBGene00000045	6.00	2.00	0.00	3.00	1.00	0.00
WBGene00000046	17.58	11.08	7.00	20.07	4.00	4.00
WBGene00000047	83.00	33.00	46.00	94.00	36.00	22.00
WBGene00000048	28.00	13.00	19.00	46.00	15.00	17.00
WBGene00000049	11.00	4.00	3.00	12.00	6.00	12.00
WBGene00000050	36.00	20.00	35.00	43.00	14.00	22.00
WBGene00000051	164.00	82.00	68.00	154.00	54.00	97.00
WBGene00000053	10.00	4.00	2.00	2.00	4.00	9.00
WBGene00000054	224.00	94.00	84.00	191.00	95.00	87.00
WBGene00000055	144.00	82.00	50.00	120.00	74.00	76.00
WBGene00000056	140.00	79.00	79.00	114.00	60.00	49.00
WBGene00000057	140.00	80.00	74.00	157.00	70.00	85.00
WBGene00000058	45.00	23.00	5.00	42.00	13.00	9.00
WBGene00000059	137.00	89.00	92.00	109.00	56.00	85.00
WBGene00000060	24.00	16.00	2.00	26.00	9.00	6.00
WBGene00000061	56.00	33.00	17.00	36.00	28.00	13.00
WBGene00000062	36.00	16.00	25.00	44.00	16.00	20.00
WBGene00000063	65172.43	34972.27	28853.37	114239.97	49767.38	50967.87
WBGene00000064	33152.99	19279.50	23631.25	29622.76	32463.43	32375.13
WBGene00000065	65549.44	36815.09	33995.73	97722.75	74531.21	64383.23
WBGene00000066	88480.40	51865.98	43916.84	118255.70	73624.99	68949.77
WBGene00000067	16669.00	9460.00	12449.00	10152.00	44056.00	42752.00
WBGene00000068	527.00	332.00	160.00	524.00	220.00	206.00
WBGene00000069	86.00	60.00	21.00	82.00	63.00	57.00
WBGene00000070	434.00	279.00	164.00	452.00	251.00	193.00
WBGene00000071	240.00	175.00	17.00	285.00	232.00	123.00
WBGene00000072	204.00	114.00	83.00	315.00	222.00	154.00
WBGene00000073	1606.00	836.00	814.00	1701.00	850.00	799.00
WBGene00000074	470.00	270.00	37.00	388.00	301.00	156.00
WBGene00000075	616.00	334.00	248.00	660.00	494.00	539.00
WBGene00000079	1395.25	723.63	983.20	1372.32	1070.62	968.72
WBGene00000080	1758.00	1035.00	661.00	1732.00	1324.00	1093.00
WBGene00000081	23969.00	13643.00	22128.00	20568.00	12934.00	14061.00
WBGene00000082	55.00	51.00	19.00	69.00	42.00	34.00
WBGene00000083	1825.00	1051.00	659.00	2121.00	1476.00	1145.00
WBGene00000084	103.00	74.00	49.00	112.00	66.00	42.00
WBGene00000085	138.00	74.00	87.00	117.00	82.00	74.00
WBGene00000086	577.00	331.00	170.00	689.00	220.00	174.00
WBGene00000088	696.67	342.26	178.59	732.78	536.07	391.52
WBGene00000089	1311.00	686.00	595.00	1086.00	614.00	581.00
WBGene00000090	823.45	473.38	245.00	858.58	513.77	500.06
WBGene00000092	2385.00	1225.00	469.00	1507.00	1178.00	946.00
WBGene00000093	1486.00	922.00	1176.00	1848.00	1460.00	1329.00
WBGene00000094	225.40	108.05	45.95	195.73	95.69	136.01
WBGene00000095	735.21	484.96	273.21	965.53	582.38	430.00
WBGene00000096	15.00	10.00	11.00	19.00	6.00	9.00
WBGene00000097	2352.00	1269.00	721.00	2571.00	1037.00	1014.00
WBGene00000098	3229.00	1884.00	1145.00	3481.00	2294.00	2025.00
WBGene00000099	1393.00	975.00	540.00	1724.00	1375.00	1192.00
WBGene00000100	3127.00	1740.00	2363.00	3341.00	2128.00	1773.00
WBGene00000101	1291.00	734.00	505.00	1305.00	916.00	613.00
WBGene00000102	4149.00	2186.00	815.00	3935.00	2477.00	1849.00
WBGene00000103	1954.00	1087.00	592.00	1929.00	1212.00	1007.00
WBGene00000105	945.00	578.00	307.00	1010.00	529.00	363.00
WBGene00000106	2494.00	1372.00	1260.00	2864.00	2562.00	2130.00
WBGene00000107	49346.00	28588.00	25576.00	55905.00	36353.00	33205.00
WBGene00000108	118.00	59.00	73.00	91.00	16.00	27.00
WBGene00000109	4458.00	2580.00	2302.00	6428.00	2681.00	3103.00
WBGene00000110	7734.00	4077.00	4622.00	7595.00	5503.00	5474.00
WBGene00000111	1095.00	530.00	574.00	1135.00	722.00	616.00
WBGene00000112	8951.00	5688.00	11577.00	10732.00	6866.00	6564.00
WBGene00000113	6433.59	4034.46	7770.65	6526.62	4373.44	4032.19
WBGene00000114	73486.00	39486.00	44437.00	57093.00	37836.00	39642.00
WBGene00000115	6310.00	3314.00	3981.00	7325.00	6216.00	5748.00
WBGene00000116	566.00	318.00	330.00	630.00	439.00	495.00
WBGene00000117	5371.00	2815.00	1670.00	3511.00	3483.00	3126.00
WBGene00000118	1382.00	771.00	502.00	1403.00	1335.00	1222.00
WBGene00000120	1404.00	883.00	306.00	1204.00	1206.00	942.00
WBGene00000121	5736.00	3506.00	2191.00	5799.00	4827.00	3725.00
WBGene00000122	7553.00	4393.00	4196.00	7557.00	6652.00	6029.00
WBGene00000123	9838.00	6494.00	6115.00	9982.00	7364.00	6378.00
WBGene00000133	336.00	166.00	143.00	305.00	118.00	96.00
WBGene00000134	38.00	21.00	15.00	28.00	14.00	20.00
WBGene00000135	145.00	77.00	44.00	151.00	64.00	66.00
WBGene00000136	1948.00	1062.00	564.00	2315.00	1389.00	1335.00
WBGene00000137	407.00	266.00	277.00	574.00	466.00	346.00
WBGene00000138	594.00	272.00	150.00	417.00	298.00	299.00
WBGene00000139	101.00	51.00	26.00	206.00	83.00	77.00
WBGene00000140	6197.05	6158.57	5599.57	10661.48	6221.20	5887.03
WBGene00000142	2642.87	1548.67	1133.20	3070.76	1834.34	1731.87
WBGene00000143	1032.00	627.00	429.00	1047.00	911.00	744.00
WBGene00000144	982.00	651.00	426.00	896.00	819.00	710.00
WBGene00000145	1010.00	655.00	370.00	1530.00	1063.00	1203.00
WBGene00000146	1997.00	973.00	744.00	1666.00	904.00	884.00
WBGene00000147	1436.00	721.00	551.00	1575.00	1133.00	986.00
WBGene00000148	679.00	406.00	222.00	772.00	484.00	389.00
WBGene00000149	11557.00	5092.00	2089.00	8539.00	5126.00	3594.00
WBGene00000150	1634.00	960.00	442.00	1408.00	872.00	788.00
WBGene00000151	1320.00	789.00	619.00	1625.00	923.00	1111.00
WBGene00000155	7735.00	4278.00	3887.00	7257.00	6017.00	6496.00
WBGene00000156	907.00	596.00	239.00	1138.00	806.00	458.00
WBGene00000157	1720.00	946.00	1275.00	1741.00	1635.00	1604.00
WBGene00000158	4201.00	2345.00	945.00	3841.00	2691.00	2081.00
WBGene00000159	2146.00	1223.00	726.00	2350.00	1233.00	1443.00
WBGene00000160	2836.00	1305.00	302.00	2302.00	1292.00	1177.00
WBGene00000161	1271.00	708.00	375.00	1123.00	766.00	651.00
WBGene00000162	3721.00	2192.00	1912.00	3829.00	3007.00	2950.00
WBGene00000163	1793.00	1050.00	747.00	1900.00	1036.00	1164.00
WBGene00000164	599.00	370.00	249.00	577.00	480.00	457.00
WBGene00000165	2777.32	1812.01	3373.00	4117.98	3034.74	2690.00
WBGene00000166	44.00	25.00	19.00	44.00	16.00	15.00
WBGene00000168	4068.00	2088.00	1562.00	3413.00	3007.02	2823.00
WBGene00000169	46842.78	22400.84	37032.91	54942.72	16675.58	22403.61
WBGene00000170	4941.00	2878.00	969.00	6290.00	3253.00	1953.00
WBGene00000171	31.00	16.00	7.00	51.00	4.00	8.00
