gene_id	f1	f4	f5	f7	f9	f12
WBGene00000001	1571.70	1332.89	1611.65	1313.62	1381.19	2246.74
WBGene00000002	277.00	206.00	268.00	272.00	217.00	612.00
WBGene00000003	180.00	126.00	139.00	227.00	96.00	318.00
WBGene00000004	384.00	287.00	349.00	364.00	240.00	400.00
WBGene00000005	128.00	90.00	101.00	72.00	99.00	242.00
WBGene00000006	483.00	386.00	399.00	366.00	198.00	355.00
WBGene00000007	377.00	285.00	355.00	352.00	165.00	470.00
WBGene00000008	11.00	9.00	16.00	6.00	12.00	10.00
WBGene00000009	106.00	90.00	89.00	119.00	31.52	77.00
WBGene00000010	790.00	613.00	856.97	929.00	966.00	1544.00
WBGene00000012	22.00	23.00	18.00	18.00	11.00	12.00
WBGene00000013	349.00	325.00	301.00	157.00	66.00	102.00
WBGene00000014	0.00	1.00	0.00	0.00	0.00	0.00
WBGene00000015	0.00	0.00	1.00	1.00	0.00	1.00
WBGene00000016	755.00	637.00	607.00	461.00	261.00	418.00
WBGene00000017	1140.00	870.00	953.00	766.00	471.00	948.00
WBGene00000018	586.00	406.00	532.00	628.00	567.00	883.00
WBGene00000019	131.00	61.00	95.00	162.00	63.00	153.00
WBGene00000020	914.00	691.00	794.00	961.00	491.00	824.00
WBGene00000021	3.00	4.00	2.00	3.00	1.00	6.00
WBGene00000022	832.00	620.00	728.00	665.00	678.00	1087.00
WBGene00000023	161.00	115.00	125.00	167.00	88.00	204.00
WBGene00000024	57.60	69.25	79.18	33.64	162.78	241.82
WBGene00000025	1.00	0.00	2.00	0.00	1.00	0.00
WBGene00000026	0.00	0.00	0.00	0.00	0.00	0.00
WBGene00000027	0.00	5.00	0.00	1.00	6.40	10.95
WBGene00000028	0.00	0.25	0.00	0.00	0.00	0.00
WBGene00000029	20.20	11.74	13.85	9.63	71.71	106.39
WBGene00000030	39.34	15.14	43.81	12.65	85.75	103.19
WBGene00000031	311.12	203.16	302.43	206.73	262.43	340.61
WBGene00000032	13.15	9.49	13.57	10.85	24.12	52.62
WBGene00000033	95.00	68.00	108.00	52.00	95.00	142.00
WBGene00000034	169.00	124.00	187.00	115.00	124.00	211.00
