EnsID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Gene_name	Chromosome/scaffold_name	Gene_start_(bp)	Gene_end_(bp)	Strand	Gene_description
WBGene00000001	1550.76652458949	-0.137893317518507	0.1754316630765	-0.786022973848093	0.431854028001732	0.656865435427219	aap-1	I	5107833	5110183	1	Phosphoinositide_3-kinase_adapter_subunit;_Phosphoinositide_kinase_AdAPter_subunit__[Source:UniProtKB/TrEMBL;Acc:G5EDP9]
WBGene00000002	294.015587371414	-0.496043945019246	0.252010997104029	-1.96834245616068	0.049028648051284	0.176502644205823	aat-1	IV	9598986	9601695	-1	Amino_Acid_Transporter__[Source:UniProtKB/TrEMBL;Acc:Q19834]
WBGene00000003	172.382595272157	-0.476394750312379	0.284185138733485	-1.6763534941887	0.0936689724988039	0.265113731038976	aat-2	V	9244402	9246360	-1	Amino_Acid_Transporter__[Source:UniProtKB/TrEMBL;Acc:Q19151]
WBGene00000004	331.373668127174	0.00622298280124255	0.182707956855762	0.03405972519388	0.972829524476558	0.988079184471844	aat-3	X	2552436	2557726	1	Amino_Acid_Transporter__[Source:UniProtKB/TrEMBL;Acc:O17395]
WBGene00000005	116.632204105516	-0.327365635652242	0.341087890046306	-0.959769153949729	0.337171410011723	0.572324326539292	aat-4	IV	6272529	6275713	-1	Amino_Acid_Transporter__[Source:UniProtKB/TrEMBL;Acc:Q7YXH5]
WBGene00000006	357.695715468729	0.456228768638255	0.20726354123134	2.20120126254637	0.0277217789689595	0.121085552318321	aat-5	I	2571782	2576020	-1	Amino_Acid_Transporter__[Source:UniProtKB/TrEMBL;Acc:H2KZG9]
WBGene00000007	321.400402611799	0.0826959716431882	0.235792886798883	0.350714445909994	0.725802586863805	0.857742258189786	aat-6	V	11466844	11470663	-1	Amino_Acid_Transporter__[Source:UniProtKB/TrEMBL;Acc:B2D6M4]
WBGene00000008	10.7942207708468	0.284955179657267	0.698103965647688	0.408184444838228	0.683138267306788	0.831592365556997	aat-7	II	1386888	1391567	1	Amino_Acid_Transporter__[Source:UniProtKB/TrEMBL;Acc:O44832]
WBGene00000009	83.6274240238949	0.32850074162547	0.384110847202109	0.855223808487297	0.392427258107624	0.621843856044577	aat-8	IV	3862129	3865042	-1	Amino_Acid_Transporter__[Source:UniProtKB/TrEMBL;Acc:Q94197]
WBGene00000010	934.560719507023	-0.621130324406536	0.186119375704701	-3.3372684711345	0.000846061798608264	0.0107891418525312	aat-9	I	11388689	11396660	-1	Amino_Acid_Transporter__[Source:UniProtKB/TrEMBL;Acc:Q56VY0]
