EnsID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Gene_name	Chromosome/scaffold_name	Gene_start_(bp)	Gene_end_(bp)	Strand	Gene_description
WBGene00000001	858.845393120075	-0.155956318971331	0.248577438754425	-0.627395308893676	0.53040014200465	0.923428719297386	aap-1	I	5107833	5110183	1	Phosphoinositide_3-kinase_adapter_subunit;_Phosphoinositide_kinase_AdAPter_subunit__[Source:UniProtKB/TrEMBL;Acc:G5EDP9]
WBGene00000002	448.455665410805	-0.101927968194966	0.313617615158958	-0.325007152877251	0.74517565811851	0.968682302876473	aat-1	IV	9598986	9601695	-1	Amino_Acid_Transporter__[Source:UniProtKB/TrEMBL;Acc:Q19834]
WBGene00000003	328.070840113675	0.532841916514564	0.358247557895669	1.4873567307603	0.136920618477795	0.66369130494162	aat-2	V	9244402	9246360	-1	Amino_Acid_Transporter__[Source:UniProtKB/TrEMBL;Acc:Q19151]
WBGene00000004	469.621703671457	0.100568454162937	0.279571395577906	0.359723690454993	0.719053773977115	0.963292855385349	aat-3	X	2552436	2557726	1	Amino_Acid_Transporter__[Source:UniProtKB/TrEMBL;Acc:O17395]
WBGene00000005	167.019958491474	-0.558036592507305	0.411156162573414	-1.35723757371061	0.17470573556063	0.71273189128632	aat-4	IV	6272529	6275713	-1	Amino_Acid_Transporter__[Source:UniProtKB/TrEMBL;Acc:Q7YXH5]
WBGene00000006	875.272147852026	0.828629289117658	0.372713168586898	2.22323587937426	0.0261998986465976	0.360491438860208	aat-5	I	2571782	2576020	-1	Amino_Acid_Transporter__[Source:UniProtKB/TrEMBL;Acc:H2KZG9]
WBGene00000007	525.838939152235	0.345052583755948	0.284403093824625	1.21325186416123	0.225033540448312	0.773178431487022	aat-6	V	11466844	11470663	-1	Amino_Acid_Transporter__[Source:UniProtKB/TrEMBL;Acc:B2D6M4]
WBGene00000008	17.4255922299388	0.0950202786642838	0.560388908645797	0.169561312149993	0.865355150311948	0.984378754572954	aat-7	II	1386888	1391567	1	Amino_Acid_Transporter__[Source:UniProtKB/TrEMBL;Acc:O44832]
WBGene00000009	211.306063484251	0.589871574704483	0.481487012271596	1.2251038131258	0.2205361086758	0.768026989503055	aat-8	IV	3862129	3865042	-1	Amino_Acid_Transporter__[Source:UniProtKB/TrEMBL;Acc:Q94197]
WBGene00000010	956.853837538875	-0.352627117141555	0.483753050511363	-0.728940348321943	0.466038152260349	0.898705246919463	aat-9	I	11388689	11396660	-1	Amino_Acid_Transporter__[Source:UniProtKB/TrEMBL;Acc:Q56VY0]
