Gene stable ID	Gene name	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Strand	Gene description
WBGene00000001	aap-1	I	5107833	5110183	1	Phosphoinositide 3-kinase adapter subunit; Phosphoinositide kinase AdAPter subunit  [Source:UniProtKB/TrEMBL;Acc:G5EDP9]
WBGene00000002	aat-1	IV	9598986	9601695	-1	Amino Acid Transporter  [Source:UniProtKB/TrEMBL;Acc:Q19834]
WBGene00000003	aat-2	V	9244402	9246360	-1	Amino Acid Transporter  [Source:UniProtKB/TrEMBL;Acc:Q19151]
WBGene00000004	aat-3	X	2552436	2557726	1	Amino Acid Transporter  [Source:UniProtKB/TrEMBL;Acc:O17395]
WBGene00000005	aat-4	IV	6272529	6275713	-1	Amino Acid Transporter  [Source:UniProtKB/TrEMBL;Acc:Q7YXH5]
WBGene00000006	aat-5	I	2571782	2576020	-1	Amino Acid Transporter  [Source:UniProtKB/TrEMBL;Acc:H2KZG9]
WBGene00000007	aat-6	V	11466844	11470663	-1	Amino Acid Transporter  [Source:UniProtKB/TrEMBL;Acc:B2D6M4]
WBGene00000008	aat-7	II	1386888	1391567	1	Amino Acid Transporter  [Source:UniProtKB/TrEMBL;Acc:O44832]
WBGene00000009	aat-8	IV	3862129	3865042	-1	Amino Acid Transporter  [Source:UniProtKB/TrEMBL;Acc:Q94197]
WBGene00000010	aat-9	I	11388689	11396660	-1	Amino Acid Transporter  [Source:UniProtKB/TrEMBL;Acc:Q56VY0]
WBGene00000012	abf-1	I	3886111	3887080	-1	Antibacterial factor-related peptide 1  [Source:UniProtKB/Swiss-Prot;Acc:G5EGC4]
WBGene00000013	abf-2	I	3885548	3885905	-1	Antibacterial factor-related peptide 2  [Source:UniProtKB/Swiss-Prot;Acc:G5EC68]
WBGene00000014	abf-3	V	15817410	15817846	-1	AntiBacterial Factor related  [Source:UniProtKB/TrEMBL;Acc:O45563]
WBGene00000015	abf-4	V	20557945	20558379	-1	AntiBacterial Factor related  [Source:UniProtKB/TrEMBL;Acc:Q9XX40]
WBGene00000016	abf-5	X	12792727	12793386	1	ABF-5; AntiBacterial Factor related  [Source:UniProtKB/TrEMBL;Acc:G5EFQ2]
WBGene00000017	abf-6	X	12794118	12794870	1	ABF-6; AntiBacterial Factor related  [Source:UniProtKB/TrEMBL;Acc:G5EBS3]
WBGene00000018	abl-1	X	10605832	10624185	-1	Tyrosine-protein kinase abl-1  [Source:UniProtKB/Swiss-Prot;Acc:P03949]
WBGene00000019	abt-1	IV	10206189	10214911	-1	ABC Transporter family  [Source:UniProtKB/TrEMBL;Acc:S6EZS3]
WBGene00000020	abt-2	I	2255923	2272866	-1	ABC Transporter family  [Source:UniProtKB/TrEMBL;Acc:Q1RS86]
WBGene00000021	abt-3	IV	12950315	12957128	-1	
WBGene00000022	abt-4	V	323774	330725	-1	ABC Transporter family  [Source:UniProtKB/TrEMBL;Acc:Q9TXV8]
WBGene00000023	abt-5	I	12011195	12018668	1	ABC Transporter family  [Source:UniProtKB/TrEMBL;Acc:Q9XW49]
WBGene00000024	abu-1	V	10380340	10381826	-1	Activated in Blocked Unfolded protein response  [Source:UniProtKB/TrEMBL;Acc:Q17400]
WBGene00000025	abu-2	X	1408836	1410652	-1	Activated in Blocked Unfolded protein response  [Source:UniProtKB/TrEMBL;Acc:Q19594]
WBGene00000026	abu-3	X	17553419	17554449	1	
WBGene00000027	abu-4	V	2274842	2275977	1	Activated in Blocked Unfolded protein response  [Source:UniProtKB/TrEMBL;Acc:Q86S74]
WBGene00000028	abu-5	IV	15590697	15591772	1	Activated in Blocked Unfolded protein response  [Source:UniProtKB/TrEMBL;Acc:Q9NF70]
WBGene00000029	abu-6	V	5160671	5161892	-1	Activated in Blocked Unfolded protein response  [Source:UniProtKB/TrEMBL;Acc:O16501]
WBGene00000030	abu-7	V	5163396	5164759	-1	Activated in Blocked Unfolded protein response  [Source:UniProtKB/TrEMBL;Acc:O16502]
WBGene00000031	abu-8	V	5163269	5194608	-1	Activated in Blocked Unfolded protein response  [Source:UniProtKB/TrEMBL;Acc:O16511]
WBGene00000032	abu-9	X	8322111	8323418	1	Activated in Blocked Unfolded protein response; Prion-like-(Q/N-rich)-domain-bearing protein  [Source:UniProtKB/TrEMBL;Acc:G5EGB7]
WBGene00000033	abu-10	X	3798179	3799741	1	Activated in Blocked Unfolded protein response  [Source:UniProtKB/TrEMBL;Acc:Q20002]
WBGene00000034	abu-11	II	192531	194558	-1	Activated in Blocked Unfolded protein response  [Source:UniProtKB/TrEMBL;Acc:P91419]
WBGene00000035	ace-1	X	16367229	16373789	1	Acetylcholinesterase 1  [Source:UniProtKB/Swiss-Prot;Acc:P38433]
WBGene00000036	ace-2	I	3302001	3307587	-1	Carboxylic ester hydrolase  [Source:UniProtKB/TrEMBL;Acc:G5EDV9]
WBGene00000037	ace-3	II	14205633	14210214	1	Carboxylic ester hydrolase  [Source:UniProtKB/TrEMBL;Acc:Q9U295]
WBGene00000038	ace-4	II	14198046	14205325	1	Carboxylic ester hydrolase  [Source:UniProtKB/TrEMBL;Acc:G5EDN1]
WBGene00000039	acn-1	X	5092458	5097067	-1	Inactive angiotensin-converting enzyme-related protein  [Source:UniProtKB/Swiss-Prot;Acc:Q18581]
WBGene00000040	aco-1	X	11339874	11343568	1	Probable cytoplasmic aconitate hydratase  [Source:UniProtKB/Swiss-Prot;Acc:Q23500]
WBGene00000041	aco-2	III	7973717	7977355	1	Probable aconitate hydratase, mitochondrial  [Source:UniProtKB/Swiss-Prot;Acc:P34455]
WBGene00000042	acr-2	X	6702463	6709142	1	Acetylcholine receptor subunit beta-type acr-2  [Source:UniProtKB/Swiss-Prot;Acc:P48182]
WBGene00000043	acr-3	X	6709538	6712925	1	Acetylcholine receptor subunit beta-type acr-3  [Source:UniProtKB/Swiss-Prot;Acc:Q93149]
WBGene00000044	acr-5	III	6509699	6514768	-1	Acetylcholine receptor subunit alpha-type acr-5  [Source:UniProtKB/Swiss-Prot;Acc:P54246]
WBGene00000045	acr-6	I	4359207	4362548	1	AcetylCholine Receptor  [Source:UniProtKB/TrEMBL;Acc:Q9N4M3]
WBGene00000046	acr-7	II	7845662	7849797	-1	Acetylcholine receptor subunit alpha-type acr-7  [Source:UniProtKB/Swiss-Prot;Acc:P45963]
WBGene00000047	acr-8	X	10412725	10416630	1	AcetylCholine Receptor  [Source:UniProtKB/TrEMBL;Acc:Q23355]
WBGene00000048	acr-9	X	13642348	13646898	-1	AcetylCholine Receptor  [Source:UniProtKB/TrEMBL;Acc:Q18556]
WBGene00000049	acr-10	X	4022273	4025584	1	AcetylCholine Receptor  [Source:UniProtKB/TrEMBL;Acc:Q21645]
WBGene00000050	acr-11	I	6621687	6624894	-1	AcetylCholine Receptor  [Source:UniProtKB/TrEMBL;Acc:P91197]
WBGene00000051	acr-12	X	13532871	13536433	1	AcetylCholine Receptor; Nicotinic acetylcholine receptor-like subunit ACR-12  [Source:UniProtKB/TrEMBL;Acc:G5EDF1]
WBGene00000053	acr-14	II	8174845	8177195	-1	AcetylCholine Receptor  [Source:UniProtKB/TrEMBL;Acc:Q22224]
WBGene00000054	acr-15	V	8552695	8555388	1	AcetylCholine Receptor  [Source:UniProtKB/TrEMBL;Acc:O16926]
WBGene00000055	acr-16	V	8561216	8564345	1	Acetylcholine receptor subunit alpha-type acr-16  [Source:UniProtKB/Swiss-Prot;Acc:P48180]
WBGene00000056	acr-17	V	2608656	2615247	1	AcetylCholine Receptor  [Source:UniProtKB/TrEMBL;Acc:Q6F6K3]
WBGene00000057	acr-18	V	15551155	15559147	-1	AcetylCholine Receptor; Acetylcholine receptor, one of nine alpha a7-like nicotinic acetylcholine receptor subunits (58.6 kD) (Acr-18)  [Source:UniProtKB/TrEMBL;Acc:G5EG72]
WBGene00000058	acr-19	I	9031274	9036695	-1	AcetylCholine Receptor; Acetylcholine receptor (63.2 kD) (Acr-19)  [Source:UniProtKB/TrEMBL;Acc:G5EGB5]
WBGene00000059	acr-20	II	14373831	14377890	-1	AcetylCholine Receptor  [Source:UniProtKB/TrEMBL;Acc:Q7JKI4]
WBGene00000060	acr-21	III	6583461	6585617	1	AcetylCholine Receptor  [Source:UniProtKB/TrEMBL;Acc:Q9N5U8]
WBGene00000061	lgc-11	X	7503823	7506633	-1	Acetylcholine receptor (51.1 kD) (Acr-22); Ligand-Gated ion Channel  [Source:UniProtKB/TrEMBL;Acc:G5EGR1]
WBGene00000062	acr-23	V	3651686	3659499	-1	Betaine receptor acr-23  [Source:UniProtKB/Swiss-Prot;Acc:G5EG88]
WBGene00000063	act-1	V	11079167	11082497	1	Actin-1  [Source:UniProtKB/Swiss-Prot;Acc:P0DM41]
WBGene00000064	act-2	V	11076723	11078168	-1	Actin-2  [Source:UniProtKB/Swiss-Prot;Acc:P10984]
WBGene00000065	act-3	V	11071690	11074498	-1	Actin-1  [Source:UniProtKB/Swiss-Prot;Acc:P0DM41]
WBGene00000066	act-4	X	4960553	4964416	1	Actin-4  [Source:UniProtKB/Swiss-Prot;Acc:P10986]
WBGene00000067	act-5	III	13604339	13606067	-1	ACTin  [Source:UniProtKB/TrEMBL;Acc:O45815]
WBGene00000068	acy-1	III	4722126	4730919	1	Adenylyl CYclase  [Source:UniProtKB/TrEMBL;Acc:Q19523]
WBGene00000069	acy-2	V	5976029	5981513	1	Adenylyl CYclase  [Source:UniProtKB/TrEMBL;Acc:O16880]
WBGene00000070	acy-3	III	3774896	3786640	-1	Adenylyl CYclase  [Source:UniProtKB/TrEMBL;Acc:G5EE33]
WBGene00000071	acy-4	V	5624727	5630892	-1	Adenylyl CYclase  [Source:UniProtKB/TrEMBL;Acc:Q966F9]
WBGene00000072	add-1	X	4854069	4860036	-1	Adducin-related protein 1  [Source:UniProtKB/Swiss-Prot;Acc:Q9U9K0]
WBGene00000073	add-2	V	12009537	12013605	-1	Adducin-related protein 2  [Source:UniProtKB/Swiss-Prot;Acc:Q20952]
WBGene00000074	adm-2	X	13687973	13695771	1	ADAM (Disintegrin plus metalloprotease) family  [Source:UniProtKB/TrEMBL;Acc:G5EDW5]
WBGene00000075	adm-4	X	7795046	7798287	-1	ADAM (Disintegrin plus metalloprotease) family  [Source:UniProtKB/TrEMBL;Acc:Q94316]
WBGene00000079	adr-1	I	7773180	7777652	1	Adenosine Deaminase acting on RNA; Truncated ADR-1F  [Source:UniProtKB/TrEMBL;Acc:G5EG30]
